n_components,reg,accuracy,f1
2,1e-06,0.5835,0.5833
2,0.0001,0.8089,0.8087
2,0.01,0.8229,0.8229
4,1e-06,0.6781,0.6781
4,0.0001,0.8893,0.8893
4,0.01,0.8773,0.8772
8,1e-06,0.8431,0.8430
8,0.0001,0.9598,0.9597
8,0.01,0.9577,0.9577
12,1e-06,0.9235,0.9234
12,0.0001,0.9638,0.9638
12,0.01,0.9658,0.9658
16,1e-06,0.9416,0.9416
16,0.0001,0.9437,0.9436
16,0.01,0.9477,0.9476
