n_components,sigma,accuracy,f1
2,0.1,0.8435,0.8435
2,1.0,0.8374,0.8374
2,10.0,0.8537,0.8537
4,0.1,0.9289,0.9288
4,1.0,0.9085,0.9085
4,10.0,0.9207,0.9207
8,0.1,0.9472,0.9471
8,1.0,0.9593,0.9593
8,10.0,0.9533,0.9532
12,0.1,0.9553,0.9552
12,1.0,0.9553,0.9552
12,10.0,0.9553,0.9552
