n_components,reg,accuracy,f1
2,1e-06,0.6600,0.6559
2,0.0001,0.8249,0.8241
2,0.01,0.8290,0.8280
4,1e-06,0.7445,0.7416
4,0.0001,0.8672,0.8667
4,0.01,0.8712,0.8707
8,1e-06,0.8672,0.8672
8,0.0001,0.9256,0.9256
8,0.01,0.9155,0.9155
12,1e-06,0.9115,0.9115
12,0.0001,0.9457,0.9457
12,0.01,0.9356,0.9356
16,1e-06,0.9296,0.9296
16,0.0001,0.9356,0.9356
16,0.01,0.9195,0.9195
