n_components,sigma,accuracy,f1
2,0.01,0.7264,0.7263
2,0.1,0.7706,0.7706
2,1.0,0.7002,0.6998
2,10.0,0.7726,0.7725
4,0.01,0.8431,0.8429
4,0.1,0.8592,0.8590
4,1.0,0.8451,0.8450
4,10.0,0.8712,0.8711
8,0.01,0.9336,0.9335
8,0.1,0.9497,0.9496
8,1.0,0.9195,0.9194
8,10.0,0.9598,0.9597
12,0.01,0.9396,0.9396
12,0.1,0.9618,0.9617
12,1.0,0.9497,0.9496
12,10.0,0.9658,0.9658
