n_components,sigma,accuracy,f1
2,0.01,0.7606,0.7602
2,0.1,0.7948,0.7943
2,1.0,0.7586,0.7581
2,10.0,0.7948,0.7946
4,0.01,0.8813,0.8813
4,0.1,0.8592,0.8591
4,1.0,0.8370,0.8368
4,10.0,0.8491,0.8491
8,0.01,0.9376,0.9376
8,0.1,0.9356,0.9356
8,1.0,0.8974,0.8974
8,10.0,0.9376,0.9376
12,0.01,0.9497,0.9497
12,0.1,0.9276,0.9276
12,1.0,0.9396,0.9396
12,10.0,0.9356,0.9356
