n_components,sigma,accuracy,f1
2,0.1,0.8476,0.8471
2,1.0,0.8679,0.8676
2,10.0,0.8252,0.8252
4,0.1,0.9126,0.9126
4,1.0,0.9045,0.9045
4,10.0,0.9045,0.9045
8,0.1,0.9492,0.9492
8,1.0,0.9350,0.9350
8,10.0,0.9309,0.9309
12,0.1,0.9390,0.9390
12,1.0,0.9390,0.9390
12,10.0,0.9248,0.9247
