n_components,alpha,accuracy,f1
2,0.1,0.8517,0.8517
2,1,0.8517,0.8517
2,5,0.8467,0.8467
2,10,0.8467,0.8467
5,0.1,0.9283,0.9283
5,1,0.9317,0.9317
5,5,0.9317,0.9317
5,10,0.9250,0.9250
8,0.1,0.9617,0.9617
8,1,0.9600,0.9600
8,5,0.9533,0.9533
8,10,0.9533,0.9533
15,0.1,0.9583,0.9583
15,1,0.9583,0.9583
15,5,0.9617,0.9617
15,10,0.9617,0.9617
16,0.1,0.9617,0.9617
16,1,0.9617,0.9617
16,5,0.9650,0.9650
16,10,0.9633,0.9633
