n_components,alpha,accuracy,f1
2,0.1,0.9417,0.9417
2,1,0.9400,0.9400
2,5,0.9400,0.9400
2,10,0.9400,0.9400
5,0.1,0.9733,0.9733
5,1,0.9733,0.9733
5,5,0.9733,0.9733
5,10,0.9733,0.9733
8,0.1,0.9750,0.9750
8,1,0.9733,0.9733
8,5,0.9717,0.9717
8,10,0.9717,0.9717
15,0.1,0.9750,0.9750
15,1,0.9750,0.9750
15,5,0.9750,0.9750
15,10,0.9750,0.9750
16,0.1,0.9750,0.9750
16,1,0.9750,0.9750
16,5,0.9750,0.9750
16,10,0.9750,0.9750
