n_components,sigma,accuracy,f1
2,0.1,0.9650,0.9650
2,1.0,0.9633,0.9633
2,10.0,0.9617,0.9617
4,0.1,0.9650,0.9650
4,1.0,0.9717,0.9717
4,10.0,0.9733,0.9733
8,0.1,0.9817,0.9817
8,1.0,0.9783,0.9783
8,10.0,0.9800,0.9800
12,0.1,0.9800,0.9800
12,1.0,0.9750,0.9750
12,10.0,0.9783,0.9783
